"Symbol";"Value";"Unit";
"REFERENCE";"DIN EN ISO 7092 - d 5";"";
"TraceParts.PartStandardAcronym";"DIN";"";
"TraceParts.PartStatus";"Published";"";
"DESIGN";"Flache Scheiben - Große Reihe, Produktklasse A, DIN EN ISO 7092 - 5";"";
"TraceParts.PartNumber";"32-01072013-083641";"";
"TraceParts.PartLanguage";"de";"";
"STANDARD";"DIN EN ISO 7092";"";
"TraceParts.InstanceId";"32-01072013-0836416G2P32Z6CB1TFB5BOILJ4IVMH";"";
"TraceParts.PartTitle";"Flache Scheiben - Große Reihe, Produktklasse A";"";
"TraceParts.PartVersion";"1.1.4";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartStatusId";"";"";
"TraceParts.ClassPath";"DIN:32-01072013-083641";"";
